	best_action	h	init_light	prob_change	t	v	x
327	0.0	0.4442222222222223	1	0.08980582524271846	12.64	9.0	40.0
328	0.0	0.4	1	0.07993605115907275	12.49	10.0	40.0
329	0.0	0.3638181818181818	1	0.07199367088607594	12.36	11.0	40.0
330	0.0	0.33266666666666667	1	0.06509803921568627	12.25	12.0	40.0
331	0.4	5.466666666666667	1	0.5076142131979695	15.15	1.0	40.0
332	0.0	2.0	1	0.4608294930875576	14.15	2.0	40.0
333	0.0	1.3326666666666669	1	0.2890625	13.48	3.0	40.0
334	0.0	1.0	1	0.2085070892410342	13.01	4.0	40.0
335	0.0	0.8	1	0.16194331983805668	12.65	5.0	40.0
336	0.0	0.6673333333333333	1	0.13222486144101347	12.370000000000001	6.0	40.0
337	0.0	0.5717142857142857	1	0.111284046692607	12.15	7.0	40.0
338	0.0	0.5	1	0.09593246354566386	11.97	8.0	40.0
339	0.0	0.44422222222222224	1	0.08421851289833081	11.82	9.0	40.0
340	0.0	0.4	1	0.07513148009015778	11.690000000000001	10.0	40.0
341	0.0	0.3638181818181818	1	0.06780923994038748	11.58	11.0	40.0
342	0.0	0.3326666666666667	1	0.0613905325443787	11.48	12.0	40.0
343	0.0	0.3078461538461539	1	0.05661764705882353	11.4	13.0	40.0
344	0.4	5.466666666666667	1	0.4416961130742049	13.68	1.0	40.0
345	0.0	2.0	1	0.4170141784820684	13.01	2.0	40.0
346	0.0	1.3326666666666669	1	0.26725521669341895	12.54	3.0	40.0
347	0.0	1.0	1	0.19500780031201248	12.18	4.0	40.0
348	0.0	0.8	1	0.15267175572519084	11.9	5.0	40.0
349	0.0	0.6673333333333334	1	0.12537537537537538	11.68	6.0	40.0
350	0.0	0.5717142857142857	1	0.10592592592592592	11.5	7.0	40.0
351	0.0	0.5	1	0.09157509157509157	11.35	8.0	40.0
352	0.0	0.4442222222222223	1	0.08055152394775036	11.219999999999999	9.0	40.0
353	0.0	0.4	1	0.07199424046076314	11.11	10.0	40.0
354	0.0	0.3638181818181818	1	0.06504646175839886	11.01	11.0	40.0
355	0.0	0.33266666666666667	1	0.058990760483297794	10.93	12.0	40.0
356	0.0	0.3078461538461539	1	0.054455445544554455	10.86	13.0	40.0
357	0.4	5.466666666666667	1	0.4048582995951417	12.65	1.0	40.0
358	0.0	2.0	1	0.39001560062402496	12.18	2.0	40.0
359	0.0	1.3326666666666669	1	0.2526555386949924	11.82	3.0	40.0
360	0.0	1.0	1	0.18573551263001487	11.540000000000001	4.0	40.0
361	0.0	0.8	1	0.14619883040935672	11.32	5.0	40.0
362	0.0	0.6673333333333333	1	0.1204906204906205	11.14	6.0	40.0
363	0.0	0.5717142857142857	1	0.10206995003568879	10.99	7.0	40.0
364	0.0	0.5	1	0.0884016973125884	10.86	8.0	40.0
365	0.0	0.4442222222222223	1	0.07789473684210527	10.75	9.0	40.0
366	0.0	0.4	1	0.06968641114982578	10.65	10.0	40.0
367	0.0	0.3638181818181818	1	0.06306306306306307	10.57	11.0	40.0
368	0.0	0.3326666666666667	1	0.05724137931034483	10.5	12.0	40.0
369	0.0	0.3078461538461539	1	0.05284831846259437	10.43	13.0	40.0
370	0.15	5.371174045801527	1	0.5091603053435114	11.9	1.0	40.0
371	0.0	2.0	1	0.37147102526002973	11.540000000000001	2.0	40.0
372	0.0	1.3326666666666669	1	0.24235807860262013	11.260000000000002	3.0	40.0
373	0.0	1.0	1	0.17908309455587393	11.040000000000001	4.0	40.0
374	0.0	0.8	1	0.14144271570014144	10.860000000000001	5.0	40.0
375	0.0	0.6673333333333333	1	0.11686494051784464	10.71	6.0	40.0
376	0.0	0.5717142857142857	1	0.09916782246879335	10.580000000000002	7.0	40.0
377	0.0	0.5	1	0.08602890571231935	10.47	8.0	40.0
378	0.0	0.44422222222222224	1	0.07587149692412852	10.370000000000001	9.0	40.0
