	cost	init_light	plan	v	vel	x
143	0.8	2	[0.0, 0.0]	5.0	[5.0, 5.0, 5.0]	40.0
144	0.4	2	[0.0]	5.0	[5.0, 5.0]	50.0
145	7.4714285714285715	2	[-1.75, 0.0, 0.0, 0.0, 0.14999999999999999]	6.0	[6.0, 1.0, 1.0, 1.0, 1.0, 2.0]	10.0
146	1.3333333333333335	2	[0.0, 0.0, 0.0, 0.0]	6.0	[6.0, 6.0, 6.0, 6.0, 6.0]	20.0
147	1.0	2	[0.0, 0.0, 0.0]	6.0	[6.0, 6.0, 6.0, 6.0]	30.0
148	0.6666666666666667	2	[0.0, 0.0]	6.0	[6.0, 6.0, 6.0]	40.0
149	0.33333333333333337	2	[0.0]	6.0	[6.0, 6.0]	50.0
150	7.4	2	[-2.3999999999999999, 0.0, 0.0, 0.0, 0.14999999999999999]	7.0	[7.0, 1.0, 1.0, 1.0, 1.0, 2.0]	10.0
151	1.142857142857143	2	[0.0, 0.0, 0.0, 0.0]	7.0	[7.0, 7.0, 7.0, 7.0, 7.0]	20.0
152	0.8571428571428572	2	[0.0, 0.0, 0.0]	7.0	[7.0, 7.0, 7.0, 7.0]	30.0
153	0.5714285714285715	2	[0.0, 0.0]	7.0	[7.0, 7.0, 7.0]	40.0
154	0.28571428571428575	2	[0.0]	7.0	[7.0, 7.0]	50.0
155	1.25	2	[0.0, 0.0, 0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0, 8.0, 8.0]	10.0
156	1.0	2	[0.0, 0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0, 8.0]	20.0
157	0.75	2	[0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0]	30.0
158	0.5	2	[0.0, 0.0]	8.0	[8.0, 8.0, 8.0]	40.0
159	0.25	2	[0.0]	8.0	[8.0, 8.0]	50.0
160	1.1111111111111112	2	[0.0, 0.0, 0.0, 0.0, 0.0]	9.0	[9.0, 9.0, 9.0, 9.0, 9.0, 9.0]	10.0
161	0.888888888888889	2	[0.0, 0.0, 0.0, 0.0]	9.0	[9.0, 9.0, 9.0, 9.0, 9.0]	20.0
162	0.6666666666666667	2	[0.0, 0.0, 0.0]	9.0	[9.0, 9.0, 9.0, 9.0]	30.0
163	0.4444444444444445	2	[0.0, 0.0]	9.0	[9.0, 9.0, 9.0]	40.0
164	0.22222222222222224	2	[0.0]	9.0	[9.0, 9.0]	50.0
165	1.0	2	[0.0, 0.0, 0.0, 0.0, 0.0]	10.0	[10.0, 10.0, 10.0, 10.0, 10.0, 10.0]	10.0
166	0.8	2	[0.0, 0.0, 0.0, 0.0]	10.0	[10.0, 10.0, 10.0, 10.0, 10.0]	20.0
167	0.6000000000000001	2	[0.0, 0.0, 0.0]	10.0	[10.0, 10.0, 10.0, 10.0]	30.0
168	0.4	2	[0.0, 0.0]	10.0	[10.0, 10.0, 10.0]	40.0
169	0.2	2	[0.0]	10.0	[10.0, 10.0]	50.0
170	0.9090909090909092	2	[0.0, 0.0, 0.0, 0.0, 0.0]	11.0	[11.0, 11.0, 11.0, 11.0, 11.0, 11.0]	10.0
171	0.7272727272727273	2	[0.0, 0.0, 0.0, 0.0]	11.0	[11.0, 11.0, 11.0, 11.0, 11.0]	20.0
172	0.5454545454545454	2	[0.0, 0.0, 0.0]	11.0	[11.0, 11.0, 11.0, 11.0]	30.0
173	0.36363636363636365	2	[0.0, 0.0]	11.0	[11.0, 11.0, 11.0]	40.0
174	0.18181818181818182	2	[0.0]	11.0	[11.0, 11.0]	50.0
175	0.8333333333333335	2	[0.0, 0.0, 0.0, 0.0, 0.0]	12.0	[12.0, 12.0, 12.0, 12.0, 12.0, 12.0]	10.0
176	0.6666666666666667	2	[0.0, 0.0, 0.0, 0.0]	12.0	[12.0, 12.0, 12.0, 12.0, 12.0]	20.0
177	0.5	2	[0.0, 0.0, 0.0]	12.0	[12.0, 12.0, 12.0, 12.0]	30.0
178	0.33333333333333337	2	[0.0, 0.0]	12.0	[12.0, 12.0, 12.0]	40.0
179	0.16666666666666669	2	[0.0]	12.0	[12.0, 12.0]	50.0
180	0.7692307692307693	2	[0.0, 0.0, 0.0, 0.0, 0.0]	13.0	[13.0, 13.0, 13.0, 13.0, 13.0, 13.0]	10.0
181	0.6153846153846154	2	[0.0, 0.0, 0.0, 0.0]	13.0	[13.0, 13.0, 13.0, 13.0, 13.0]	20.0
182	0.46153846153846156	2	[0.0, 0.0, 0.0]	13.0	[13.0, 13.0, 13.0, 13.0]	30.0
