	x	v	cost	plan	vel	init_light
95	10.0	19.0	0.7214943910256411	[1.9500000000000002, 0.0, 0.0, 0.0, 0.0]	[19.0, 20.0, 20.0, 20.0, 20.0, 20.0]	1
96	20.0	19.0	0.5789473684210527	[0.0, 0.0, 0.0, 0.0]	[19.0, 19.0, 19.0, 19.0, 19.0]	1
97	30.0	19.0	0.4342105263157895	[0.0, 0.0, 0.0]	[19.0, 19.0, 19.0, 19.0]	1
98	40.0	19.0	0.2894736842105263	[0.0, 0.0]	[19.0, 19.0, 19.0]	1
99	50.0	19.0	0.14473684210526316	[0.0]	[19.0, 19.0]	1
100	10.0	20.0	0.6875	[0.0, 0.0, 0.0, 0.0, 0.0]	[20.0, 20.0, 20.0, 20.0, 20.0, 20.0]	1
101	20.0	20.0	0.55	[0.0, 0.0, 0.0, 0.0]	[20.0, 20.0, 20.0, 20.0, 20.0]	1
102	30.0	20.0	0.41250000000000003	[0.0, 0.0, 0.0]	[20.0, 20.0, 20.0, 20.0]	1
103	40.0	20.0	0.275	[0.0, 0.0]	[20.0, 20.0, 20.0]	1
104	50.0	20.0	0.1375	[0.0]	[20.0, 20.0]	1
105	10.0	21.0	0.6547619047619048	[0.0, 0.0, 0.0, 0.0, 0.0]	[21.0, 21.0, 21.0, 21.0, 21.0, 21.0]	1
106	20.0	21.0	0.5238095238095238	[0.0, 0.0, 0.0, 0.0]	[21.0, 21.0, 21.0, 21.0, 21.0]	1
107	30.0	21.0	0.3928571428571429	[0.0, 0.0, 0.0]	[21.0, 21.0, 21.0, 21.0]	1
108	40.0	21.0	0.2619047619047619	[0.0, 0.0]	[21.0, 21.0, 21.0]	1
109	50.0	21.0	0.13095238095238096	[0.0]	[21.0, 21.0]	1
110	10.0	22.0	0.625	[0.0, 0.0, 0.0, 0.0, 0.0]	[22.0, 22.0, 22.0, 22.0, 22.0, 22.0]	1
111	20.0	22.0	0.5	[0.0, 0.0, 0.0, 0.0]	[22.0, 22.0, 22.0, 22.0, 22.0]	1
112	30.0	22.0	0.375	[0.0, 0.0, 0.0]	[22.0, 22.0, 22.0, 22.0]	1
113	40.0	22.0	0.25	[0.0, 0.0]	[22.0, 22.0, 22.0]	1
114	50.0	22.0	0.125	[0.0]	[22.0, 22.0]	1
115	10.0	0.0	1.3590638733941853	[7.199999999999999, 7.249999999999999, 0.0, 0.0, 0.0]	[0.0, 12.0, 17.0, 17.0, 17.0, 17.0]	2
116	20.0	0.0	1.1972991675118323	[7.199999999999999, 7.249999999999999, 0.0, 0.0]	[0.0, 12.0, 17.0, 17.0, 17.0]	2
117	30.0	0.0	1.0194253663003663	[7.199999999999999, 2.5999999999999996, 0.0]	[0.0, 12.0, 14.0, 14.0]	2
118	40.0	0.0	0.8	[7.199999999999999, 0.0]	[0.0, 12.0, 12.0]	2
119	50.0	0.0	99999.0	[]	[]	2
120	10.0	1.0	1.3230262131377752	[7.1499999999999995, 7.249999999999999, 0.0, 0.0, 0.0]	[1.0, 12.0, 17.0, 17.0, 17.0, 17.0]	2
121	20.0	1.0	1.1612615072554222	[7.1499999999999995, 7.249999999999999, 0.0, 0.0]	[1.0, 12.0, 17.0, 17.0, 17.0]	2
122	30.0	1.0	0.9833877060439562	[7.1499999999999995, 2.5999999999999996, 0.0]	[1.0, 12.0, 14.0, 14.0]	2
123	40.0	1.0	0.7639623397435897	[7.1499999999999995, 0.0]	[1.0, 12.0, 12.0]	2
124	50.0	1.0	0.5347956730769231	[7.1499999999999995]	[1.0, 12.0]	2
125	10.0	2.0	1.290462682917995	[7.0, 7.249999999999999, 0.0, 0.0, 0.0]	[2.0, 12.0, 17.0, 17.0, 17.0, 17.0]	2
126	20.0	2.0	1.128697977035642	[7.0, 7.249999999999999, 0.0, 0.0]	[2.0, 12.0, 17.0, 17.0, 17.0]	2
127	30.0	2.0	0.950824175824176	[7.0, 2.5999999999999996, 0.0]	[2.0, 12.0, 14.0, 14.0]	2
128	40.0	2.0	0.7313988095238095	[7.0, 0.0]	[2.0, 12.0, 12.0]	2
129	50.0	2.0	0.5022321428571429	[7.0]	[2.0, 12.0]	2
130	10.0	3.0	1.225596438172043	[8.0, 7.75, 0.0, 0.0, 0.0]	[3.0, 13.0, 18.0, 18.0, 18.0, 18.0]	2
131	20.0	3.0	1.0693627450980392	[8.0, 6.0, 0.0, 0.0]	[3.0, 13.0, 17.0, 17.0, 17.0]	2
132	30.0	3.0	0.889976025132275	[8.0, 1.35, 0.0]	[3.0, 13.0, 14.0, 14.0]	2
133	40.0	3.0	0.6802884615384616	[8.0, 0.0]	[3.0, 13.0, 13.0]	2
134	50.0	3.0	0.47213541666666664	[6.75]	[3.0, 12.0]	2
135	10.0	4.0	1.1999070999367492	[7.6499999999999995, 7.75, 0.0, 0.0, 0.0]	[4.0, 13.0, 18.0, 18.0, 18.0, 18.0]	2
136	20.0	4.0	1.0436734068627451	[7.6499999999999995, 6.0, 0.0, 0.0]	[4.0, 13.0, 17.0, 17.0, 17.0]	2
137	30.0	4.0	0.864286686896981	[7.6499999999999995, 1.35, 0.0]	[4.0, 13.0, 14.0, 14.0]	2
138	40.0	4.0	0.6545991233031674	[7.6499999999999995, 0.0]	[4.0, 13.0, 13.0]	2
139	50.0	4.0	0.4430606617647059	[7.6499999999999995]	[4.0, 13.0]	2
140	10.0	5.0	1.1749019937275986	[7.199999999999999, 7.75, 0.0, 0.0, 0.0]	[5.0, 13.0, 18.0, 18.0, 18.0, 18.0]	2
141	20.0	5.0	1.0186683006535948	[7.199999999999999, 6.0, 0.0, 0.0]	[5.0, 13.0, 17.0, 17.0, 17.0]	2
142	30.0	5.0	0.8392815806878307	[7.199999999999999, 1.35, 0.0]	[5.0, 13.0, 14.0, 14.0]	2
143	40.0	5.0	0.6295940170940171	[7.199999999999999, 0.0]	[5.0, 13.0, 13.0]	2
144	50.0	5.0	0.4164981617647059	[5.95]	[5.0, 12.0]	2
145	10.0	6.0	1.1302083333333335	[8.0, 6.4, 0.0, 0.0, 0.0]	[6.0, 14.0, 18.0, 18.0, 18.0, 18.0]	2
146	20.0	6.0	0.9736050166034156	[8.0, 4.65, 0.0, 0.0]	[6.0, 14.0, 17.0, 17.0, 17.0]	2
147	30.0	6.0	0.7928571428571429	[8.0, 0.0, 0.0]	[6.0, 14.0, 14.0, 14.0]	2
148	40.0	6.0	0.5964285714285715	[8.0, 0.0]	[6.0, 14.0, 14.0]	2
149	50.0	6.0	0.38993055555555556	[5.3999999999999995]	[6.0, 12.0]	2
150	10.0	7.0	1.1069568452380953	[7.3500000000000005, 6.4, 0.0, 0.0, 0.0]	[7.0, 14.0, 18.0, 18.0, 18.0, 18.0]	2
151	20.0	7.0	0.9503535285081776	[7.3500000000000005, 4.65, 0.0, 0.0]	[7.0, 14.0, 17.0, 17.0, 17.0]	2
152	30.0	7.0	0.7696056547619048	[7.3500000000000005, 0.0, 0.0]	[7.0, 14.0, 14.0, 14.0]	2
153	40.0	7.0	0.5731770833333334	[7.3500000000000005, 0.0]	[7.0, 14.0, 14.0]	2
154	50.0	7.0	0.3618055555555556	[3.5999999999999996]	[7.0, 11.0]	2
155	10.0	8.0	1.0833333333333335	[6.6000000000000005, 6.4, 0.0, 0.0, 0.0]	[8.0, 14.0, 18.0, 18.0, 18.0, 18.0]	2
156	20.0	8.0	0.9267300166034156	[6.6000000000000005, 4.65, 0.0, 0.0]	[8.0, 14.0, 17.0, 17.0, 17.0]	2
157	30.0	8.0	0.7459821428571429	[6.6000000000000005, 0.0, 0.0]	[8.0, 14.0, 14.0, 14.0]	2
158	40.0	8.0	0.5495535714285715	[6.6000000000000005, 0.0]	[8.0, 14.0, 14.0]	2
159	50.0	8.0	0.3336805555555556	[1.7999999999999998]	[8.0, 10.0]	2
160	10.0	9.0	1.0438918988648092	[7.199999999999999, 6.8, 0.0, 0.0, 0.0]	[9.0, 15.0, 19.0, 19.0, 19.0, 19.0]	2
161	20.0	9.0	0.8870547715053764	[7.199999999999999, 1.55, 0.0, 0.0]	[9.0, 15.0, 16.0, 16.0, 16.0]	2
162	30.0	9.0	0.7083333333333334	[7.199999999999999, 0.0, 0.0]	[9.0, 15.0, 15.0, 15.0]	2
163	40.0	9.0	0.525	[7.199999999999999, 0.0]	[9.0, 15.0, 15.0]	2
164	50.0	9.0	0.3043174342105263	[0.9500000000000001]	[9.0, 10.0]	2
165	10.0	10.0	1.0066365007541478	[7.8, 3.4, 0.0, 0.0, 0.0]	[10.0, 16.0, 18.0, 18.0, 18.0, 18.0]	2
166	20.0	10.0	0.8490384615384616	[7.8, 0.0, 0.0, 0.0]	[10.0, 16.0, 16.0, 16.0, 16.0]	2
167	30.0	10.0	0.6771634615384616	[7.8, 0.0, 0.0]	[10.0, 16.0, 16.0, 16.0]	2
168	40.0	10.0	0.5005952380952381	[4.8, 0.0]	[10.0, 14.0, 14.0]	2
169	50.0	10.0	0.275	[0.0]	[10.0, 10.0]	2
170	10.0	11.0	0.98239549291939	[6.75, 3.4, 0.0, 0.0, 0.0]	[11.0, 16.0, 18.0, 18.0, 18.0, 18.0]	2
171	20.0	11.0	0.8247974537037037	[6.75, 0.0, 0.0, 0.0]	[11.0, 16.0, 16.0, 16.0, 16.0]	2
172	30.0	11.0	0.6529224537037037	[6.75, 0.0, 0.0]	[11.0, 16.0, 16.0, 16.0]	2
173	40.0	11.0	0.4750223214285715	[3.75, 0.0]	[11.0, 14.0, 14.0]	2
174	50.0	11.0	0.25	[0.0]	[11.0, 11.0]	2
175	10.0	12.0	0.9457563628899835	[7.249999999999999, 1.75, 0.0, 0.0, 0.0]	[12.0, 17.0, 18.0, 18.0, 18.0, 18.0]	2
176	20.0	12.0	0.7882305400608519	[7.249999999999999, 0.0, 0.0, 0.0]	[12.0, 17.0, 17.0, 17.0, 17.0]	2
177	30.0	12.0	0.626465834178499	[7.249999999999999, 0.0, 0.0]	[12.0, 17.0, 17.0, 17.0]	2
178	40.0	12.0	0.44859203296703304	[2.5999999999999996, 0.0]	[12.0, 14.0, 14.0]	2
179	50.0	12.0	0.22916666666666669	[0.0]	[12.0, 12.0]	2
180	10.0	13.0	0.9096242159498208	[7.75, 0.0, 0.0, 0.0, 0.0]	[13.0, 18.0, 18.0, 18.0, 18.0, 18.0]	2
181	20.0	13.0	0.7568464381720431	[7.75, 0.0, 0.0, 0.0]	[13.0, 18.0, 18.0, 18.0, 18.0]	2
182	30.0	13.0	0.6006127450980392	[6.0, 0.0, 0.0]	[13.0, 17.0, 17.0, 17.0]	2
183	40.0	13.0	0.42122602513227514	[1.35, 0.0]	[13.0, 14.0, 14.0]	2
184	50.0	13.0	0.21153846153846156	[0.0]	[13.0, 13.0]	2
185	10.0	14.0	0.8829861111111111	[6.4, 0.0, 0.0, 0.0, 0.0]	[14.0, 18.0, 18.0, 18.0, 18.0, 18.0]	2
186	20.0	14.0	0.7302083333333333	[6.4, 0.0, 0.0, 0.0]	[14.0, 18.0, 18.0, 18.0, 18.0]	2
187	30.0	14.0	0.5736050166034156	[4.65, 0.0, 0.0]	[14.0, 17.0, 17.0, 17.0]	2
188	40.0	14.0	0.3928571428571429	[0.0, 0.0]	[14.0, 14.0, 14.0]	2
189	50.0	14.0	0.19642857142857145	[0.0]	[14.0, 14.0]	2
190	10.0	15.0	0.8469620743034055	[6.8, 0.0, 0.0, 0.0, 0.0]	[15.0, 19.0, 19.0, 19.0, 19.0, 19.0]	2
191	20.0	15.0	0.7022252321981425	[6.8, 0.0, 0.0, 0.0]	[15.0, 19.0, 19.0, 19.0, 19.0]	2
192	30.0	15.0	0.5453881048387097	[1.55, 0.0, 0.0]	[15.0, 16.0, 16.0, 16.0]	2
193	40.0	15.0	0.36666666666666664	[0.0, 0.0]	[15.0, 15.0, 15.0]	2
194	50.0	15.0	0.18333333333333332	[0.0]	[15.0, 15.0]	2
195	10.0	16.0	0.8152777777777778	[7.199999999999999, 0.0, 0.0, 0.0, 0.0]	[16.0, 20.0, 20.0, 20.0, 20.0, 20.0]	2
196	20.0	16.0	0.6732230392156863	[3.4, 0.0, 0.0, 0.0]	[16.0, 18.0, 18.0, 18.0, 18.0]	2
197	30.0	16.0	0.515625	[0.0, 0.0, 0.0]	[16.0, 16.0, 16.0, 16.0]	2
198	40.0	16.0	0.34375	[0.0, 0.0]	[16.0, 16.0, 16.0]	2
199	50.0	16.0	0.171875	[0.0]	[16.0, 16.0]	2
200	10.0	17.0	0.7853673986486487	[5.55, 0.0, 0.0, 0.0, 0.0]	[17.0, 20.0, 20.0, 20.0, 20.0, 20.0]	2
201	20.0	17.0	0.6428199404761905	[1.75, 0.0, 0.0, 0.0]	[17.0, 18.0, 18.0, 18.0, 18.0]	2
202	30.0	17.0	0.4852941176470589	[0.0, 0.0, 0.0]	[17.0, 17.0, 17.0, 17.0]	2
203	40.0	17.0	0.3235294117647059	[0.0, 0.0]	[17.0, 17.0, 17.0]	2
204	50.0	17.0	0.16176470588235295	[0.0]	[17.0, 17.0]	2
205	10.0	18.0	0.7541118421052633	[3.8000000000000003, 0.0, 0.0, 0.0, 0.0]	[18.0, 20.0, 20.0, 20.0, 20.0, 20.0]	2
206	20.0	18.0	0.6111111111111112	[0.0, 0.0, 0.0, 0.0]	[18.0, 18.0, 18.0, 18.0, 18.0]	2
207	30.0	18.0	0.45833333333333337	[0.0, 0.0, 0.0]	[18.0, 18.0, 18.0, 18.0]	2
208	40.0	18.0	0.3055555555555556	[0.0, 0.0]	[18.0, 18.0, 18.0]	2
209	50.0	18.0	0.1527777777777778	[0.0]	[18.0, 18.0]	2
210	10.0	19.0	0.7214943910256411	[1.9500000000000002, 0.0, 0.0, 0.0, 0.0]	[19.0, 20.0, 20.0, 20.0, 20.0, 20.0]	2
211	20.0	19.0	0.5789473684210527	[0.0, 0.0, 0.0, 0.0]	[19.0, 19.0, 19.0, 19.0, 19.0]	2
212	30.0	19.0	0.4342105263157895	[0.0, 0.0, 0.0]	[19.0, 19.0, 19.0, 19.0]	2
213	40.0	19.0	0.2894736842105263	[0.0, 0.0]	[19.0, 19.0, 19.0]	2
214	50.0	19.0	0.14473684210526316	[0.0]	[19.0, 19.0]	2
215	10.0	20.0	0.6875	[0.0, 0.0, 0.0, 0.0, 0.0]	[20.0, 20.0, 20.0, 20.0, 20.0, 20.0]	2
216	20.0	20.0	0.55	[0.0, 0.0, 0.0, 0.0]	[20.0, 20.0, 20.0, 20.0, 20.0]	2
217	30.0	20.0	0.41250000000000003	[0.0, 0.0, 0.0]	[20.0, 20.0, 20.0, 20.0]	2
